"Genere","Titolo","Autore","Editore","Serie","Lingua","Argomento","Prestito","ISBN","Note 1","Note 2","Posizione","Data","Inventario","Npag","Lvl bibliog.","Dewey","Paese pubblicaz.","Luogo editore","Curatore","Tipo documento","Traduzione","Descrizione","Identificat.","PrleChv","Prezzo","Dispnbl","Apprzm","Custom Field 1","Custom Field 2","Custom Field 3","Custom Field 4","Custom Field 5","Custom Field 6","Custom Field 7","Custom Field 8","Custom Field 9","Custom Field 10"
"","The Mammoth Book of Great British Humour","Michael Powell","Little, Brown Book Group","Mammoth Books","","Libri in inglese/Music & Entertainment/Humor/Humor - General","P","9781849010535","Note","","","2010","","","","","","","","","","576 p.; fisico","","","","No","0","","","","","","","","","",""
"Romanzi e Letterature » Romanzi italiani » Racconti e antologie letterarie","Il sistema periodico","Primo Levi","Giulio Einaudi Editore","Einaudi tascabili. Scrittori","Italiano","","","9788806219505","","","","02/02/2014","","266","Monografia","853 (12.) NARRATIVA ITALIANA","ITALIA","","","Testo","","Tascabile","","","","No","0","","","","","","","","","",""
"","Machines Like Me: and people like you","Ian McEwan","London Jonathan Cape, 2019","","INGLESE","","","9781787331662","","","","","","","Monografia","","GRAN BRETAGNA","","","Testo","","305 p. ; 24 cm","","","","No","0","","","","","","","","","",""
"Romanzi e Letterature » Romanzi stranieri","Norwegian wood. Tokyo blues","Haruki Murakami","Giulio Einaudi Editore","Super ET","Italiano","Narrativa Narrativa moderna e contemporanea (dopo il 1945)","","9788806216467","","","","18/03/2013","","399","Monografia","895.635 (21.) NARRATIVA GIAPPONESE. 1945-1999","ITALIA","","","Libro: Copertina morbida","G. Amitrano","Tascabile","","","","No","0","","","","","","","","","",""
"Informatica e Web » Sicurezza informatica","L'arte dell'inganno. I consigli dell'hacker più famoso del mondo","Kevin D. Mitnick","Casa editrice Feltrinelli","Universale economica. Saggi","Italiano","Informatica Sicurezza informatica","","9788807882463","","","","24/09/2013","","324","Monografia","005.8 (22.) SICUREZZA DEI DATI","ITALIA","","","Libro: Copertina morbida","G. Carlotti","Tascabile","","","","No","0","","","","","","","","","",""
"Politica e Società » Comunicazione e Media » Studi sulla comunicazione » Politica e Istituzioni » Pr","Dieci ragioni per cancellare subito i tuoi account social","Jaron Lanier","Il Saggiatore","La piccola cultura","Italiano","Società, scienze sociali e politica Società e cultura: argom","","9788842825166","","","","21/06/2018","","211","Monografia","302.231 (23.) MEDIA DIGITALI","ITALIA","","","Libro: Copertina morbida","F. Mastruzzo","Brossura","","","","No","0","","","","","","","","","",""
"Bambini e Ragazzi » Scienza e Natura » Scienza e tecnologia » Libri per Conoscere » Cultura generale","Chi era Albert Einstein?","Jess M. Brallier","Nord Sud","Narrativa","Italiano","Bambini e ragazzi Non fiction per bambini e ragazzi","","9788865268421","","","","15/02/2018","","105","Monografia","530.092 (23.) FISICA. Biografia","ITALIA","","","Libro: Copertina morbida","C. Bombari","Brossura","","","","No","0","","","","","","","","","",""
"","Se questo è un uomo","Primo Levi","Giulio Einaudi Editore","","","","","9788806354107","","","","","","","","","","","","","","","","","","No","0","","","","","","","","","",""
"Bambini e Ragazzi » Classici » 10-12 anni","La fattoria degli animali","George Orwell","Arnoldo Mondadori Editore","Oscar junior","Italiano","Bambini e ragazzi Narrativa e storie vere per bambini e raga","","9788804663089","","","","01/01/2016","","198","Monografia","","ITALIA","","","Libro: Copertina morbida","G. Bulla","Tascabile","","","","No","0","","","","","","","","","",""
"Scienza e Tecnica » Biologia » Opere divulgative » Zoologia , Ambiente e Animali » Cani Gatti e altr","La vita segreta delle mucche","Rosamund Young","Garzanti","Saggi","Italiano","Casa, hobby, cucina e tempo libero Natura, vita in campagna ","","9788811675747","","","","05/10/2017","","150","Monografia","636.2 (23.) RUMINANTI E CAMELIDI BOVINI","ITALIA","","","Libro: Copertina rigida","A. Di Gregorio","Rilegato","","","","No","0","","","","","","","","","",""
"Scienza e Tecnica » Astronomia, Spazio e Tempo » Cosmologia e Universo » Opere divulgative » Fisica ","Hawking per tutti. Universo, spazio, tempo","Rudiger Vaas","Libreria Geografica","ATLANTI","Italiano","","","9788869852046","","","","31/10/2017","","128","Monografia","530.092 (21.) FISICA. Persone","ITALIA","","","Libro: Copertina morbida","R. Franceschini","Brossura","","","","No","0","","","","","","","","","",""
"Economia Diritto e Lavoro » Management » Impresa: strategia, innovazione, imprenditorialità¿ » Studi","Silicon valley. Sogna credici realizza. Cosa imparare dalla terra dell'innovazione per farcela in Italia","Eleonora Chioda","Ulrico Hoepli Editore","Business & technology","Italiano","Economia e management Affari e gestione (management)","","9788820389161","","","","16/05/2019","","384","Monografia","","ITALIA","","","Libro: Copertina morbida","","Brossura","","","","No","0","","","","","","","","","",""
"Economia Diritto e Lavoro » Finanze personali e Investimenti , Salute Benessere Self Help » Self Hel","Padre ricco padre povero. Quello che i ricchi insegnano ai figli sul denaro","Robert T. Kiyosaki","Gribaudi","","Italiano","Salute e benessere personale Auto aiuto e valorizzazione per","","9788871527741","","","","24/01/2004","","208","Monografia","","ITALIA","","","Libro","D. Ballarini","Libro","","","","No","0","","","","","","","","","",""
